TAF7	ENCFF411DIA.bed.gz	ENCFF080SUU.bigWig
TAF9B	ENCFF785HXY.bed.gz	ENCFF830MKJ.bigWig
TAL1	ENCFF284LRP.bed.gz	ENCFF617UEO.bigWig
TBL1XR1	ENCFF048OBR.bed.gz	ENCFF350TPD.bigWig
TBP	ENCFF380FJL.bed.gz	ENCFF752GLM.bigWig
TCF12	ENCFF493TZM.bed.gz	ENCFF471XQM.bigWig
TCF7	ENCFF249EZR.bed.gz	ENCFF005PNR.bigWig
TCF7L2	ENCFF312RFN.bed.gz	ENCFF899DYD.bigWig
TEAD2	ENCFF619BDC.bed.gz	ENCFF048PQD.bigWig
TEAD4	ENCFF209MQX.bed.gz	ENCFF920AQK.bigWig
THAP1	ENCFF641LJY.bed.gz	ENCFF993AHY.bigWig
THRA	ENCFF671BFH.bed.gz	ENCFF635LIW.bigWig
THRAP3	ENCFF294VWT.bed.gz	ENCFF341OHT.bigWig
TRIM24	ENCFF646VQW.bed.gz	ENCFF868YDK.bigWig
TRIM25	ENCFF682WUJ.bed.gz	ENCFF949WGE.bigWig
TRIM28	ENCFF164HLQ.bed.gz	ENCFF165QYW.bigWig
TRIP13	ENCFF561IZB.bed.gz	ENCFF317QLL.bigWig
TSC22D4	ENCFF036YVI.bed.gz	ENCFF380LKG.bigWig
UBTF	ENCFF671DOL.bed.gz	ENCFF466ZQX.bigWig
USF1	ENCFF334FMW.bed.gz	ENCFF455JRF.bigWig
USF2	ENCFF150VTD.bed.gz	ENCFF605DSA.bigWig
WHSC1	ENCFF119SZQ.bed.gz	ENCFF864WOR.bigWig
XRCC5	ENCFF998KKJ.bed.gz	ENCFF753TWJ.bigWig
YBX1	ENCFF706LIT.bed.gz	ENCFF424GQF.bigWig
YBX3	ENCFF246HIU.bed.gz	ENCFF889PGD.bigWig
YY1	ENCFF328XKC.bed.gz	ENCFF384ERU.bigWig
ZBED1	ENCFF253FON.bed.gz	ENCFF876HAD.bigWig
ZBTB11	ENCFF434QZL.bed.gz	ENCFF693GNL.bigWig
ZBTB2	ENCFF561USY.bed.gz	ENCFF715FKT.bigWig
ZBTB33	ENCFF408FQC.bed.gz	ENCFF563KAU.bigWig
ZBTB40	ENCFF417LEJ.bed.gz	ENCFF882ZUY.bigWig
ZBTB5	ENCFF359QCN.bed.gz	ENCFF477PQL.bigWig
ZBTB7A	ENCFF706ISJ.bed.gz	ENCFF457PSO.bigWig
ZBTB8A	ENCFF589EVD.bed.gz	ENCFF232LHF.bigWig
ZC3H8	ENCFF211XFR.bed.gz	ENCFF490QCL.bigWig
ZEB2	ENCFF407AOX.bed.gz	ENCFF120VOJ.bigWig
ZFP91	ENCFF396DNK.bed.gz	ENCFF285MPA.bigWig
ZHX1	ENCFF195ODE.bed.gz	ENCFF963SBX.bigWig
ZKSCAN1	ENCFF163VUK.bed.gz	ENCFF181YKE.bigWig
ZMIZ1	ENCFF597DIY.bed.gz	ENCFF257YKB.bigWig
ZMYM3	ENCFF511QHY.bed.gz	ENCFF711IOY.bigWig
ZNF143	ENCFF114IWY.bed.gz	ENCFF178RYF.bigWig
ZNF146	ENCFF742XBE.bed.gz	ENCFF438JCC.bigWig
ZNF184	ENCFF556YCY.bed.gz	ENCFF452SVJ.bigWig
ZNF24	ENCFF340PPI.bed.gz	ENCFF595RNS.bigWig
ZNF263	ENCFF891MVM.bed.gz	ENCFF318FFG.bigWig
ZNF274	ENCFF344QKL.bed.gz	ENCFF296ZAW.bigWig
ZNF280A	ENCFF386WKY.bed.gz	ENCFF951RIW.bigWig
ZNF282	ENCFF581ZZT.bed.gz	ENCFF290UIT.bigWig
ZNF3	ENCFF510PVQ.bed.gz	ENCFF114APV.bigWig
ZNF316	ENCFF788EBS.bed.gz	ENCFF617XZE.bigWig
ZNF318	ENCFF921WMN.bed.gz	ENCFF609CBO.bigWig
ZNF354B	ENCFF744SVC.bed.gz	ENCFF136APZ.bigWig
ZNF384	ENCFF706SJZ.bed.gz	ENCFF657QMO.bigWig
ZNF407	ENCFF932UEC.bed.gz	ENCFF177OYI.bigWig
ZNF507	ENCFF834WGJ.bed.gz	ENCFF441LZN.bigWig
ZNF512	ENCFF447QUG.bed.gz	ENCFF870WHI.bigWig
ZNF592	ENCFF273TYA.bed.gz	ENCFF280MOK.bigWig
ZNF639	ENCFF284PKK.bed.gz	ENCFF365YDY.bigWig
ZNF740	ENCFF545RHH.bed.gz	ENCFF623GLE.bigWig
ZSCAN29	ENCFF303PMJ.bed.gz	ENCFF025DGW.bigWig
ZZZ3	ENCFF588OLK.bed.gz	ENCFF716WJE.bigWig
